index,website,title,about,lesson_type,purpose,summary,url,period,learning_time,price
0,아이스크림,"[컬러테라피] 감성을 그리는 시간, 수채화로 떠나는 컬러링 여행","전국 유아, 초등, 중등교원 및 교육전문직",자기계발,"● 수채화의 기본 도구와 여러 가지 기본기 연습을 알고, 이를 활용하여 간단한 수채화 작품을 그릴 수 있다.|● 직접 그린 간단한 그림을 인테리어 액자 등으로 만들어 일상생활에 활력을 줄 수 있다.|● 다양한 수채화 그림을 통해 미술적 감각을 키울 수 있다.|● 색채심리에 따르면 색체는 감정에 표현 향상에 도움이 되는데, 수채화 컬러링을 통해 보다 더 많은 색채를 접하며 스트레스를 해소할 수 있다.","● 학창 시절 누구나 미술 시간에 수채화 그리는 법을 배우지만 수채화 그리기에 자신 있는 분들은 많지 않습니다. 수채화는 가장 쉽게 접할 수 있는 미술의 영역이지만 수채화를 그리고자 하는 학습자에게 마냥 쉽지만은 않은 미술의 영역이기도 합니다. 도화지 위에 퍼져가는 다양한 물빛에 집중하면 내면의 고요가 찾아오기 때문에 많은 사람들이 취미로 삼고 싶어 합니다. 각박해지는 현실과 지친 마음에서 벗어나 치유와 힐링을 찾을 수 있도록 수채화를 가장 쉽고 즐겁게 배우는 방법을 소개합니다. 수채화를 취미로 삼고 싶은 선생님들을 위해 쉽게 그릴 수 있도록 스케치까지 담아 친절한 설명으로 제시합니다.|● 본 연수에서는 수채화 도구를 알아보는 시간과 붓과 친해지는 시간을 거쳐 과정 하나하나를 꼼꼼하게 짚어주는 강의를 통해 순서대로 따라하기만 하면 멋진 작품이 완성되는 방법을 제시합니다. 작은 꽃송이, 빛 고운 나뭇잎, 조금은 투박한 돌멩이까지 작고 사랑스러운 것들을 그리며 오직 나에게만 집중하는 시간을 통해 사물이 새로이 보이는 신기한 경험과 나만의 감성을 그림으로 완성하는 기쁨을 느끼게 하며, 채색의 즐거움을 곧바로 느끼고 싶은 사람들을 위해 붓과 물감만 준비하면 바로 컬러링할 수 있도록 모든 그림의 스케치 도안을 제공하여 다가가기 쉬운 수채화가 될 수 있도록 도움을 줄 것입니다.",http://teacher.i-scream.co.kr/course/crs/creditView.do?crsCode=7065&searchOrdinalTyCode=TY01&sso=ok,4주,15시간,40000
1,아이스크림,디지털 드로잉으로 학급경영하기,"전국 유아, 초등교원 및 교육전문직",학급경영,"● 디지털 시대에 맞게 패드를 활용하여 그림을 그리는 기법과 이를 교육현장에서 활용하는 방법을 습득할 수 있다.|● 그림을 활용한 수업, 학급경영 및 동아리활동 사례를 익혀 수업현장에서 다양하게 활용할 수 있다.|● 교실 및 원격수업에서 활용할 수 있는 수업방법을 통해 실제 교육 현장에서 활용도를 높일 수 있다.","● 미디어의 변화에 따라 텍스트에서 이미지로 학생들의 학습습득 방법이 변화되고 있으며, 기존의 도구가 아닌 디지털 도구를 활용한 그림을 그리는 경우가 늘어나고 있음|● 학생의 흥미와 교육적 효과를 이룰 수 있는 수업, 학급활동, 동아리 활동 프로그램을 개발하고 활성화하는 것이 필요함|● 본 과정은 그림교육을 오랜 기간 연구하고 실천해온 현직 교사가 실제 사례를 중심으로 수업 및 학급경영의 콘텐츠를 소개하고 있음|● 그림을 통해 기억하고 자신의 생각을 표현하는 활동을 통해 학생들과 교사가 소통하고 원격수업이 일상화 된 시대의 흐름 속에서도 교사와 학생이 소통하고 같이 할 수 있는 활동을 포함하고 있음",http://teacher.i-scream.co.kr/course/crs/creditView.do?crsCode=7061&searchOrdinalTyCode=TY01&sso=ok,4주,30시간,75000
2,아이스크림,"질문하는 공부법, 하브루타로 생각하고 실행하기","전국 유아, 초등, 중등교원 및 교육전문직",학습지도,"● 하브루타 러닝의 학습 방법 및 진행 프로세스를 알고 운영과 코칭을 할 수 있다.|● 하브루타 러닝을 한국 교육에 맞게 실천하고 활용할 수 있다.|● 학생참여형수업, 협동학습을 할 수 있도록 하브루타수업을 재구성하여 진행할 수 있다.|● 교과학습, 학교생활, 생활지도, 인성교육, 진로교육, 성교육, 요리활동 등 다양한 특기활동까지 활용하여 하브루타수업을 진행할 수 있다.","● 초불확실, 초인지, 초연결, 초융합 등 급변하는 시대에 스스로 문제를 인식하고 원인을 찾고 해결방법을 찾아갈 수 있는 인재가 절실히 필요합니다. 우리나라 교육현장에서는 이에 대처하기 위해 학생 참여형수업, 협동학습 등을 적용하고 실천하며 많은 노력을 하고 있습니다.유대인은 배움을 위해서 배운다고 합니다. 무엇을 해야 하기 때문에, 무엇이 되기 위해, 누가 시켜서 배움을 하는 것이 아니라, 배우는 그 자체에 대해 의미를 찾으며 배움 그 자체를 중요시해야 합니다. 유대인에게 탈무드를 하브루타 러닝으로 배우는 것은 생각 프로세스, 사고 프로세스를 개발하기 위한 최상의 방법입니다. ● 본 연수는 유대인 토론인 탈무드 하브루타러닝을한국의 교육 실정에 맞게 한국위인, 한국 역사, 학교생활 등에 필요한 내용으로 구성하여 학생과 교사가 함께 토론하고 생각하는 효과적인 방법을 제시합니다.교육현장의 노력에 좀 더 학생 스스로 적극적으로 참여하는 자기주도학습, 함께 하는 협동학습, 서로 가르치고 배우는 교학상장을할수 있는 교육방법을 제시하여 교사(원)들의 바른 인성을 가진 창의융합형인재를 육성하는 데 도움을 주고자 합니다.",http://teacher.i-scream.co.kr/course/crs/creditView.do?crsCode=7058&searchOrdinalTyCode=TY01&sso=ok,4주,60시간,130000
3,아이스크림,한 번에 끝내는 미래 교육! 디지털 어벤져스의 특별한 AI 특강,"전국 유아, 초등, 중등교원 및 교육전문직",학습지도,"● 디지털 대전환으로 인한 다양한 분야의 변화를 알고, 거시적 관점에서 우리 아이들이 살아갈 미래를 전망할 수 있다.|● 4차 산업혁명, 디지털 기술, 인공지능 등으로 달라질 사회에 필요한 미래 인재가 갖춰야 할 역량이 무엇인지 알고, 학습 및 진로지도에 활용할 수 있다.","● 4차 산업혁명, 디지털 대전환, 인공지능의 급속한 발전으로 우리의 삶은 빠르게 변화하고 있습니다. 우리 아이들이 사회의 축으로 자라날 10년, 20년 후의 미래는 지금까지와 확연히 다른 모습일 것입니다. 교육 현장에서는 이러한 변화의 흐름을 감지하고, 새로운 세상에 필요한 역량을 갖춘 인재를 키워낼 필요가 있습니다.|● 본 연수에서는 디지털과 인공지능을 기반으로 달라질 앞으로의 사회, 경제, 경영, 산업, 과학, 기술, 정책 등 우리 삶의 다양한 분야를 전망해봅니다. 그리고 변화의 흐름에 따라 사회가 새롭게 요구하는 미래 인재가 갖춰야 할 역량이 무엇인지 생각해볼 수 있는 기회를 제공합니다.|● 미래는 계속 변화하는 것이기에 정답이 없을 수 있지만, 큰 변화의 흐름을 알고 있는 교사라면 아이들의 미래를 더 넓고 밝은 방향으로 이끌어 줄 수 있을 것입니다. 각 분야 전문가가 전하는 특별한 AI 특강을 통해 교사로서 전문적인 디지털 지식을 쌓고, 미래 교육, 미래 인재를 만들어 나갈 수 있을 것입니다",http://teacher.i-scream.co.kr/course/crs/creditView.do?crsCode=7064&searchOrdinalTyCode=TY01&sso=ok,4주,15시간,40000
4,아이스크림,쌍방향이 가능한 온라인 수업 방법 및 도구 활용,"전국 유아, 초등, 중등교원 및 교육전문직",ICT,- 변화한 교육 패러다임에 따라 쌍방향이 가능한 온라인 수업 방법을 설명할 수 있다.|- 쌍방향이 가능한 온라인 수업 도구를 이해하고 수업에 활용할 수 있다.,"본 연수는 코로나 19로 인해 온라인 교육으로의 교육 패러다임이 변화하는 요즘,|온라인에서 학습자와 교수자가 쌍방향으로 소통할 수 있는 수업 방법을 확인할 수 있는 연수입니다.|온라인에서 학습자와 교수자가 쌍방향이 가능한 온라인 수업도구를 소개하며 수업에 적합하게 활용할 수 있는 방안을 제시합니다.",http://teacher.i-scream.co.kr/course/crs/creditView.do?crsCode=3002&searchOrdinalTyCode=TY01&sso=ok,4주,7시간,21000
5,아이스크림,"장애공감교육, 달라도 괜찮아","전국 유아, 초등, 중등교원 및 교육전문직",생활지도,- 장애에 관한 개념과 특성을 이해하고 설명할 수 있다.|- 장애인에 관한 잘못된 인식과 편견을 알고 개선할 수 있다.,본 과정에서는 장애인이 겪는 차별과 불평등의 상황을 반영하여 장애에 관한 인식을 개선하고 오해와 편견을 바로잡을 수 있는 기회를 제공하고자 실생활에서 쉽게 접할 수 있는 장애인식에 관한 내용을 다각도에서 살펴봄으로써 장애인과 비장애인이 함께 평등하게 어울려 살 수 있는 발판이 되고자 한다.,http://teacher.i-scream.co.kr/course/crs/creditView.do?crsCode=3003&searchOrdinalTyCode=TY01&sso=ok,4주,5시간,15000
6,아이스크림,온라인에서도 놀자! 허쌤의 비접촉놀이,"전국 유아, 초등교원 및 교육전문직",학습지도,온라인에서도 할 수 있는 비접촉놀이를 통해 참여형 수업을 설계할 수 있다.,"본 연수는 온라인 원격 수업으로 오는 학생 간 학습격차를 최소화 하기 위해 학생 스스로, 적극적으로 참여할 수 있도록 이끌어 주는 수업 방법으로 놀이를 제안합니다.|따라서 본 연수를 통해 감염병이 확산되는 상황에서도 아이들이 즐겁게 놀이 하며 소속감을 키우고 소통할 수 있는 수업을 설계할 수 있습니다.",http://teacher.i-scream.co.kr/course/crs/creditView.do?crsCode=3001&searchOrdinalTyCode=TY01&sso=ok,4주,10시간,30000
7,아이스크림,꿈과 자존감이 자라는 교실 속 직업놀이 진로교육,"전국 유아, 초등, 중등교원 및 교육전문직",학습지도,"● 개인 맞춤형 진로교육을 위한 직업놀이 실천사례들을 이해하고, 학생들에게 진로 체험의 기회를 제공할 수 있다.|● 학생의 흥미와 적성, 수준을 고려한 진로수업을 활성화하여 학생들의 자존감을 세워줄 수 있다.|● 실제 직업놀이 운영방법에 대해 알고 학급운영에 적용하며, 진로교육의 전문성을 높일 수 있다.","● 사회환경 변화에 따라 진로교육의 중요성이 커지고 있으며, 다양한 정책을 추진하는 것에 비해 학생의 진로활동 만족도는 크게 높지 않음|● 학생의 흥미와 적성, 수준을 고려한 맞춤형 진로교육의 필요성이 높아지고 있으며, 이에 따른 진로수업 및 진로체험 프로그램을 개발하고 활성화하는 것이 필요함|● 본 과정은 교실 속 직업놀이 진로교육을 오랜 기간 연구하고 실천해온 현직 교사가 실제 사례를 중심으로 학교 현장 중심의 콘텐츠를 소개하고 있음|● 하나의 교육 프로그램이 아닌 학급운영, 교육과정과 연계하여 학교 교육과정 전반에 걸쳐서 실천가능한 직업놀이 진로교육을 통해 진로수업을 활성화할 수 있음|● 학생의 수준과 요구를 반영한 진로 프로그램으로 학생의 만족도를 높일 수 있도록 하였으며, 경험을 바탕으로 한 상세한 운영 방법을 소개하여 교원의 진로교육 전문성도 높일 수 있도록 하였음",http://teacher.i-scream.co.kr/course/crs/creditView.do?crsCode=7059&searchOrdinalTyCode=TY01&sso=ok,4주,30시간,75000
8,아이스크림,전인구의 주식 기초반,"전국 유아, 초등, 중등교원 및 교육전문직",자기계발,● 주식의 개념과 원리를 이해하고 본인의 투자 철학을 만들 수 있다.|● 주식 및 경제에 대한 소양을 쌓아 이를 수업에 활용할 수 있다.,주식의 탄생부터 거장들의 투자 철학까지 주식에 대한 기초 지식을 모두 담은 과정입니다.|주식에 대한 어려운 개념과 용어들을 쉽게 이해하고 경제에 대한 기초적인 소양을 쌓을 수 있습니다.,http://teacher.i-scream.co.kr/course/crs/creditView.do?crsCode=7060&searchOrdinalTyCode=TY01&sso=ok,4주,30시간,75000
9,아이스크림,타인을 공감하고 존중하는 인권교육,"전국 유아, 초등, 중등교원 및 교육전문직",생활지도,1. 인권과 인권교육의 개념을 바르게 이해할 수 있다.|2. 인권과 관련된 다양한 사례를 알고 이를 학교 현장에 적용할 수 있다.,"인권교육이란 무엇인가? 국가인권위원회 인권교육 운영 규정 제2조에는 “인권에 대한 이해와 지식을 습득하고, 인권을 존중하는 가치·태도·품성을 키우며, 인권침해 및 차별행위를 당할 경우 이를 극복할 수 있는 역량을 기르고, 다른 사람의 인권 보호와 증진을 위한 실천력을 길러냄으로써 인권 존중 사회 실현에 기여하는 일체의 교육적 활동을 말한다.”라고 정의되어 있다.|인권이라는 영역만큼 다양한 분야에 깊게 연결되어 있는 것도 드물다. 인권이 모든 분야, 모든 영역과 연관되어 있다고 해도 과언이 아니다. 이는 다른 말로 하면 어떤 분야건 인권적인 시각으로 접근해야 한다는 것을 말하며 이에 인권교육이 절실히 필요하다. 이에 본 연수에서는 인권교육으로 인해 톱니바퀴처럼 연결된 모든 것들이 악순환이 아닌 상생의 관계로 연결될 수 있도록 하는데 중점을 두었다.",http://teacher.i-scream.co.kr/course/crs/creditView.do?crsCode=1182&searchOrdinalTyCode=TY01&sso=ok,4주,15시간,40000
