연수명,연수시간,연수주제,후기 수,좋아요 수가격,
다양한 펜으로 마음을 전하는 손글씨 - 캘리그라피(연수+상품),15시간,인문·교양,7,40,"64,900원"
이원복 교수의 신의 나라 인간 나라(연수+도서),30시간,인문·교양,5,23,"84,000원"
창체수업과 환경교육에 요긴한 아하 그렇구나!,15시간,학습지도,6,8,"45,000원"
신병주 교수의 조선기록문화유산(연수+도서),30시간,인문·교양,13,15,"80,000원"
"나를 표현하는 힘, 글쓰기",30시간,인문·교양,17,36,"75,000원"
"구글이 선정한 세계적 미래학자, 토마스 프레이의 미래 교육 이야기",8시간,인문·교양,8,35,"35,000원"
"김석훈과 함께하는 영화 속 사랑이야기, 그 스토리텔링의 비밀",15시간,인문·교양,5,9,"45,000원"
"교육활동 침해 예방과 대처, 학교를 플렉스(flex)하다!",30시간,생활지도,1,4,"75,000원"
주식의 정석 기초편,30시간,인문·교양,97,133,"75,000원"
김경일 교수와 함께 하는 워라몬(Work and Life Harmony) 티처,30시간,생활지도,25,63,"75,000원"
"사는 게 내 마음 같지 않을 때, 명리심리학",15시간,인문·교양,15,18,"45,000원"
"초보 부모를 위한 핵심 가이드, 초·중·고 자녀교육 풀코스",15시간,진로·인성,3,7,"45,000원"
"디지털 수업능력 스킬 업(skill up), 나는 이렇게 수업한다!",30시간,교과지도,16,32,"75,000원"
누구나 취득할 수 있는 한국어교원양성과정 3급(하),30시간,어학,12,6,"75,000원"
누구나 취득할 수 있는 한국어교원양성과정 3급(상),30시간,어학,25,14,"75,000원"
건강을 알면 안전이 보인다,60시간,생활지도,0,15,"120,000원"
김현욱 아나운서와 함께하는 필수 안전 교육 베스트15,15시간,생활지도,21,13,"45,000원"
실전 AI! 인공지능으로 미래 교육을 디자인하다,15시간,ICT·스마트,10,12,"45,000원"
평화의 시선으로 바라보는 기억과 기념,15시간,인문·교양,229,23,0원
"나를 들여다보는 시간, 명리학 공부법",15시간,인문·교양,102,127,"45,000원"
고교학점제의 시작! 진로학업설계,15시간,진로·인성,38,39,"45,000원"
"대한민국 테마기행(역사, 문화 여행)",15시간,인문·교양,11,17,"45,000원"
신병주 교수의 조선기록문화유산,30시간,인문·교양,36,23,"75,000원"
교사도 학부모다 - 학부모인 교사에게 꼭 필요한 서른 가지 이야기,30시간,생활지도,13,30,"75,000원"
2022 대입 지원 전략! 수박 먹고 대학 간다(이해편),30시간,진로·인성,240,104,"75,000원"
"학교공간혁신, 미래를 만들다",15시간,학습지도,10,14,"45,000원"
교사가 진짜 궁금해하는 온라인 수업과 학급경영,8시간,학습지도,11,14,"24,000원"
"위기 탈출 안전교육, 내 몸을 지켜라!",5시간,생활지도,84,28,0원
필요할 때 꺼내 쓰는 한글 필수 키트,30시간,ICT·스마트,26,48,"75,000원"
"마이리얼토크, 미국인을 처음 만난 왕초보의 리얼 영어회화",30시간,어학,7,9,"75,000원"
"마이리얼토크, Hi Chad! 유튜브로 배우는 리얼 영어회화",30시간,어학,10,11,"75,000원"
"펜 하나로 쓱, 하루 한 장 드로잉",15시간,인문·교양,35,136,"45,000원"
